Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.935 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:34 kibot-kotlin-1 kidax-engine[1117785]: 03:41:34.935 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:35 kibot-kotlin-1 kidax-engine[1117785]: 03:41:35.516 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:36 kibot-kotlin-1 kidax-engine[1117785]: 03:41:36.939 ERROR com.kibot.macengine.runtime.MacEngineDaemon - LIFECYCLE_BLOCK: Cannot start sync cycle because state is DEGRADED
Apr 15 03:41:36 kibot-kotlin-1 kidax-engine[1117785]: 03:41:36.941 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: entering dead zone after control-plane setup
Apr 15 03:41:36 kibot-kotlin-1 kidax-engine[1117785]: 03:41:36.941 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: checking local balance / peer state cache
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.052 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching local bot state snapshot
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.095 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching lease snapshot
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.168 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: refreshing devices / risk / equity / commands / weekly review
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.202 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: probing market reachability and orderbook cache
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.249 WARN  com.kibot.macengine.runtime.MacEngineDaemon - [EXCHANGE_PROBE] FAILED - Exchange unreachable (failure count: 10)
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.249 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: applying pending commands / sync processing
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.249 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: building local health / syncing flags
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.249 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: takeover / release gate evaluation
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.249 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: re-reading canonical bot/lease snapshots
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.411 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: preparing exchange fetches
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.411 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: awaiting balances / open orders / market quotes
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.411 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: enriching runtime market quotes
Apr 15 03:41:37 kibot-kotlin-1 kidax-engine[1117785]: 03:41:37.411 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: market health resolved feedHealthy=true exchangeReachable=false warnings=2
